GEOID,Turnout_Rate,NAME,Male_Pop,Female_Pop,Total_Ethnicity,White_Non_Hispanic,Black_African_American,Asian,Hispanic_Latino,Other_race,Total_Commuters,Drove_Alone_to_Work,Public_Transportation_Users,Worked_From_Home,Total_Education_Population,High_School_Graduate,Bachelors_Degree,Graduate_Professional_Degree,Median_Household_Income,Total_Employed,Total_Unemployed
24003731002,0.60101437,Census Tract 7310.02; Anne Arundel County; Maryland,1234,1056,402,13,7,0,0,0,1914,1560,8,0,2457,380,415,64,142212,1896,16
24003731003,0.606576291,Census Tract 7310.03; Anne Arundel County; Maryland,1700,1640,255,68,44,8,0,0,2584,1909,31,0,3306,511,565,60,132484,2551,123
24003731004,0.58496732,Census Tract 7310.04; Anne Arundel County; Maryland,1522,1381,258,58,19,10,0,0,2029,1626,0,0,2950,409,664,175,116875,2015,166
24003731103,0.591726619,Census Tract 7311.03; Anne Arundel County; Maryland,2173,2052,308,84,0,0,0,0,3031,2310,10,47,3937,699,765,108,137277,3040,153
24003731104,0.573269404,Census Tract 7311.04; Anne Arundel County; Maryland,2158,1672,618,39,0,0,0,0,3139,2602,19,0,3461,356,457,31,127357,3152,88
24003731105,0.629249292,Census Tract 7311.05; Anne Arundel County; Maryland,1269,1173,176,28,8,8,0,0,1597,1244,0,0,2281,282,384,83,145455,1568,87
24003731106,0.575483468,Census Tract 7311.06; Anne Arundel County; Maryland,1358,1126,419,18,6,0,0,0,2613,2009,15,0,2928,152,530,41,115882,2570,68
24003731107,0.648418059,Census Tract 7311.07; Anne Arundel County; Maryland,1165,1147,124,30,0,0,0,0,1416,1151,13,0,2173,88,607,40,146439,1350,0
24003731201,0.640038499,Census Tract 7312.01; Anne Arundel County; Maryland,2337,2165,374,120,46,0,0,0,3482,2573,27,0,4488,696,1194,163,201289,3409,67
24003731205,0.556777646,Census Tract 7312.05; Anne Arundel County; Maryland,1863,1849,58,0,0,0,0,0,2782,2535,18,0,3554,1112,415,17,122366,2757,48
24003731206,0.625436216,Census Tract 7312.06; Anne Arundel County; Maryland,1388,1156,311,26,0,0,0,0,1833,1438,0,0,2566,631,248,41,157450,1786,35
24003731207,0.612485725,Census Tract 7312.07; Anne Arundel County; Maryland,1326,1304,40,6,6,3,0,0,1877,1707,29,0,2296,439,386,88,192546,1862,72
24003731208,0.601541555,Census Tract 7312.08; Anne Arundel County; Maryland,1585,1572,26,4,3,0,0,0,2018,1832,0,0,2974,691,380,52,145332,2100,38
24003731209,0.493181186,Census Tract 7312.09; Anne Arundel County; Maryland,2157,2049,193,76,45,0,0,0,3038,2568,0,0,3546,728,460,42,127996,3077,216
